Rk,G,Date,TEAM,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
8,8,43040,CLE,,IND,L,104.278,113.548,37.216,81.89,0.455128,11.334,32,0.348936,18.512,24.436,0.762498,8.192,42.014,20.9,5.49,4.716,15.902,16.788
8,8,43040,IND,@,CLE,W,106.874,104.526,40.046,85.03,0.471236,9.302,23.756,0.39246,17.48,22.676,0.758398,10.664,44.214,21.144,9.034,3.528,15.59,19.89
8,8,43040,MIL,@,CHO,L,102.798,103.452,38.852,80.21,0.484046,9.812,25.35,0.391434,15.282,20.162,0.753978,4.858,37.576,24.142,8.006,4.298,14.218,23.41
8,8,43039,DET,@,LAL,L,105.686,100.334,40.89,89.584,0.455244,10.08,29.524,0.34111,13.826,17.818,0.7863,12.526,42.906,20.964,8.614,2.606,13.288,20.798
8,8,43043,CHI,,NOP,L,92.082,97.8,33.678,85.02,0.393436,10.694,31.812,0.336714,14.032,18.402,0.777086,10.794,49.73,21.136,5.82,4.108,13.826,16.792
8,8,43038,GSW,@,LAC,W,116.878,111.99,42.926,84.43,0.510172,12.388,34.296,0.3682,18.638,21.898,0.84549,10.438,45.524,29.418,7.344,8.948,17.98,20.63
8,8,43043,LAC,,MEM,L,105.57,102.718,37.074,82.578,0.45006,11.376,29.624,0.384232,20.046,27.354,0.73472,11.524,45.612,19.776,7.324,4.42,13.796,19.32
8,8,43041,LAL,@,POR,L,101.338,104.036,39.688,86.9,0.455492,7.182,25.492,0.277414,14.78,19.994,0.746222,9.404,45.974,23.792,8.668,5.134,18.094,22.13
8,8,43040,SAC,@,BOS,L,94.106,106.73,36.38,87.048,0.417466,6.916,20.558,0.32667,14.43,19.232,0.734286,10.384,40.302,17.808,8.346,3.316,13,20.2
8,8,43040,PHO,@,WAS,W,106.122,113.46,38.438,85.196,0.45062,8.404,24.638,0.340114,20.842,26.224,0.801416,9.564,48.406,18.942,7.926,5.258,18.042,25.122
8,8,43038,HOU,,PHI,L,101.194,98.124,35.202,79.776,0.441144,13.354,43.932,0.30018,17.436,21.188,0.821944,8.094,45.316,20.786,7.652,5.582,15.766,22.68
8,8,43040,NOP,,MIN,L,110.284,108.216,41.418,85.492,0.482352,10.832,31.336,0.342188,16.616,22.474,0.739084,8.328,44.752,25.036,8.432,4.884,15.988,22.418
8,8,43041,SAS,,GSW,L,98.414,101.376,37.01,86.742,0.430398,7.322,22.034,0.33594,17.072,23.378,0.718014,13.52,47.228,19.914,7.528,6.994,15.128,16.526
8,8,43038,DAL,@,UTA,L,98.64,107.638,34.688,84.316,0.416776,12.046,31.778,0.377192,17.218,23.938,0.733826,9.478,40.764,20.346,7.97,2.118,13.318,19.026
8,8,43040,MEM,,ORL,L,98.72,95.256,33.022,77.366,0.428594,10.03,29.848,0.336408,22.646,27.728,0.798938,6.862,41.574,18.254,7.242,4.596,13.056,21.942
9,9,43044,TOR,,WAS,L,106.0832,104.111,40.16,86.5904,0.4659228,9.003,30.281,0.299921,16.7602,21.8354,0.7724096,9.609,41.1448,22.7226,9.684,5.481,13.1232,21.479
9,9,43042,BOS,@,OKC,W,103.8122,90.2768,36.8568,81.0118,0.4550166,11.3908,30.0746,0.3726246,18.7078,22.8646,0.8210936,10.3972,46.609,22.3906,9.476,5.0426,13.7512,19.044
9,9,43042,PHI,,IND,W,111.8233243,110.9453787,40.31919914,87.28378301,0.461511031,13.12428388,32.10469412,0.408333773,18.06064219,24.57557949,0.735486079,11.38502158,50.40113939,27.89921542,7.497211292,4.93171161,18.92740247,25.55589211
9,9,43044,NYK,,IND,W,108.9472,103.409,41.5754,88.9018,0.468539,9.7476,26.9888,0.3489464,16.0488,20.1024,0.7910434,11.428,48.7428,23.6628,7.544,5.6856,15.6102,22.4124
9,9,43042,BRK,@,LAL,L,109.433,116.0442,38.347,91.5306,0.4186586,12.0714,34.288,0.3518262,20.6676,27.7714,0.7376628,10.9564,44.7192,20.7056,7.9348,3.4814,13.7356,22.109
9,9,43044,MIA,@,LAC,W,101.3998,104.9374,38.351,82.9952,0.4604946,9.9814,30.4702,0.3234732,14.7164,18.0868,0.815087,7.3524,42.1136,19.388,7.5332,4.5926,16.9546,23.4568
9,9,43044,WAS,@,TOR,W,112.056,109.8148,41.1128,90.3588,0.4570008,11.5486,30.0212,0.3759542,18.2818,25.2072,0.7175926,11.1322,43.3322,24.5922,8.0006,4.1518,13.9796,21.8308
9,9,43042,CHO,@,SAS,L,108.608,105.7166,40.3504,87.2564,0.4610674,9.8682,24.4668,0.4010538,18.039,26.3028,0.6717048,10.1674,50.3732,19.715,4.9052,5.4444,12.76,18.8594
9,9,43042,ORL,,CHI,L,114.5042,105.2666,42.3668,85.7342,0.496717,12.0598,28.6772,0.4194712,17.7108,22.7222,0.746736,7.0248,42.5254,24.6016,8.8258,4.943,15.2042,22.0932
9,9,43042,ATL,,HOU,L,98.3218,106.9084,35.9194,83.751,0.430951,10.405,26.177,0.3962004,16.078,19.5402,0.839782,8.1102,40.9038,21.3798,8.9576,3.1268,15.0314,21.9478
9,9,43041,POR,,LAL,W,102.596,102.8386,35.3116,87.7446,0.4021126,10.5542,28.7032,0.370132,21.4186,26.244,0.814679,12.8262,49.7956,18.741,6.72,6.462,14.0788,22.7856
9,9,43044,OKC,@,POR,L,107.7476,96.211,40.516,86.6968,0.467454,11.0512,30.2716,0.3644098,15.6644,20.1272,0.7721602,11.4728,45.0766,23.5872,8.8332,6.9526,14.6138,22.395
9,9,43042,MIN,,TOR,L,95.768,93.719,35.2436,80.3588,0.4395812,10.6124,29.3282,0.3534184,14.6684,18.7322,0.7754604,8.7948,43.9438,20.178,9.812,7.36,18.2976,20.0612
9,9,43043,UTA,,DAL,W,111.302,118.0014,40.603,86.1946,0.4711478,8.768,23.3458,0.3750478,21.328,27.1132,0.7764592,10.7076,38.9412,22.046,9.0408,4.2278,15.7312,19.589
9,9,43042,DEN,,MIA,W,110.2968,108.787,41.2966,91.0282,0.4550812,10.7868,28.0998,0.3779994,16.9168,23.388,0.7195862,11.1062,44.8128,23.7992,8.2358,4.0044,11.7896,19.8444
9,9,43042,CLE,@,WAS,W,105.3434,115.9644,38.0448,81.827,0.4646984,11.3802,33.26,0.3382008,17.8736,23.8508,0.7492694,7.6376,41.3042,22.09,5.707,4.2148,15.8306,17.9164
9,9,43042,IND,@,PHI,L,108.7822,102.0578,40.7138,84.169,0.4829708,10.9106,25.0468,0.437498,16.444,20.9428,0.7701594,10.1992,44.4842,23.8432,9.2902,3.1584,15.877,20.527
9,9,43042,MIL,@,DET,L,103.7794,105.5156,39.0956,81.603,0.4784138,11.4836,27.765,0.4119902,14.1046,18.3686,0.7618334,4.9574,38.2928,25.3026,7.1618,3.6694,14.2054,23.963
9,9,43042,DET,,MIL,W,103.2458,100.8002,40.407,90.1552,0.4469532,10.304,30.1372,0.341593,12.1278,16.1254,0.70965,12.1578,43.2518,20.9892,9.0242,2.7418,13.0864,17.8594
9,9,43046,CHI,@,TOR,L,90.0646,94.16,33.0634,86.686,0.3799708,10.0682,33.0636,0.3087742,13.8696,18.4006,0.7662458,11.9182,52.579,20.6208,6.926,4.3124,14.6478,16.5176
9,9,43041,GSW,@,SAS,W,121.5834,111.997,45.4978,84.689,0.5387516,12.2564,32.5488,0.38528,18.3314,21.9694,0.831427,10.8314,45.2972,31.7854,6.9632,9.2644,17.574,19.489
9,9,43044,LAC,,MIA,L,105.451,107.8154,36.6022,81.8934,0.448338,10.5528,29.1872,0.3580296,21.6938,28.9262,0.752556,11.8572,45.0436,19.3728,6.3972,4.966,13.9388,19.656
9,9,43042,LAL,,BRK,W,100.1214,101.4908,39.3464,85.15,0.4620076,6.4946,24.3076,0.2615842,14.934,20.1382,0.7485866,8.7012,45.4322,22.5376,8.9004,5.4602,17.0482,20.919
9,9,43043,SAC,@,DET,L,94.4518,109.719,36.814,86.4544,0.4255398,6.2748,19.8874,0.304501,14.549,19.2096,0.7461258,9.4152,37.9906,18.7824,8.9438,3.6548,13.28,19.78
9,9,43042,PHO,@,NYK,L,110.9366,110.618,40.5114,87.0188,0.467126,8.6812,24.3314,0.3575342,21.2326,25.7872,0.8232448,10.5692,50.5018,19.6826,7.4178,5.3574,16.6126,24.7566
9,9,43040,HOU,@,NYK,W,100.3582,101.2572,34.0806,79.5128,0.4288632,13.8062,43.8396,0.310694,18.3908,23.0164,0.8075632,8.1682,42.7148,20.6558,7.4756,5.4546,16.2098,23.044
9,9,43042,NOP,@,DAL,W,106.8652,106.5248,39.8654,85.2876,0.4648856,10.2496,30.9608,0.3277764,16.8848,22.1422,0.7640852,8.3784,43.8056,25.5708,8.4096,4.6852,16.1364,22.9654
9,9,43042,SAS,,CHO,W,97.2842,104.7528,36.023,86.0826,0.4224194,8.0766,23.2702,0.356982,17.1616,23.5334,0.7166042,12.876,45.3884,19.8342,7.8584,6.4382,14.6184,14.7578
9,9,43040,DAL,@,LAC,L,99.032,107.7514,35.3264,83.2548,0.4306528,12.1538,30.9534,0.3934376,16.2254,22.4414,0.7447278,9.5634,40.9292,20.1038,7.711,2.3154,14.9154,18.7278
9,9,43043,MEM,@,LAC,W,98.356,96.8968,34.2666,79.9098,0.4309782,10.569,31.7744,0.3343024,19.2538,24.4184,0.7702814,7.2386,40.8922,18.9162,8.1926,4.8788,12.8768,21.0026
10,10,43046,TOR,,CHI,W,104.06496,103.0533,39.488,84.21712,0.47157684,8.5809,28.4043,0.3005363,16.50806,22.93062,0.72466288,8.4827,40.34344,20.95678,9.2052,5.7043,12.75696,22.4037
10,10,43044,BOS,@,ORL,W,103.10366,90.50304,36.95704,82.12354,0.44968498,11.53724,30.44238,0.37246738,17.65234,21.83938,0.81080808,11.37916,47.7227,22.53718,9.0028,4.31278,13.36536,17.3332
10,10,43046,PHI,@,UTA,W,110.5469973,110.9836136,39.39575974,85.6851349,0.459753309,11.35728516,31.47140824,0.362740132,20.39819266,27.25267385,0.745225824,10.69550647,50.54034182,26.56976463,7.429163388,5.679513483,18.83822074,25.30676763
10,10,43046,NYK,,CHO,W,110.38416,105.5027,42.01262,87.71054,0.4796417,9.64428,26.99664,0.34926392,16.71464,20.17072,0.82335302,10.2884,47.80284,24.59884,7.5832,6.04568,15.74306,22.96372
10,10,43045,BRK,@,PHO,W,107.7299,116.57326,37.8241,91.43918,0.41329758,11.74142,34.9264,0.33668786,20.34028,28.07142,0.72081884,9.86692,43.65576,20.49168,7.70044,3.42442,13.36068,21.1927
10,10,43045,MIA,@,GSW,L,101.39994,102.60122,38.1053,83.13856,0.45664838,10.69442,31.82106,0.33028196,14.49492,18.02604,0.8032661,8.08572,42.87408,19.9564,8.27996,5.01778,18.10638,23.83704
10,10,43046,WAS,,DAL,L,113.6968,110.08444,41.59384,89.12764,0.46848024,12.42458,29.72636,0.41504626,18.08454,25.20216,0.71227778,11.73966,43.51966,24.45766,7.30018,3.76554,14.55388,22.92924
10,10,43044,CHO,@,MIN,L,108.7424,108.71498,40.24512,87.49692,0.45836022,9.40046,23.16004,0.40269614,18.8517,28.19084,0.65469144,10.19022,49.55196,19.7745,5.81156,4.85332,12.228,19.37782
10,10,43044,ORL,,BOS,L,107.99126,102.97998,41.41004,85.50026,0.4869751,12.15794,30.16316,0.40808136,13.01324,17.59666,0.7067408,6.86744,41.17762,24.88048,8.52774,4.5629,16.32126,20.06796
